ID;Geburtstag;Email_Addresse;Ansprechpartner (Vorname);Insurance;Letzter Rechnungsbetrag (€);Ansprechpartner (Nachname);Ansprechpartner;Ansprechpartner (Telefon);private_insurance
1000011;1976-01-31;Ebert@BNP_aribas_SA..de;Bernhard;AOK;533,36;Ebert;1000011;#;0
1000012;1953-12-25;Klingler-Wolf@BNP_aribas_SA..de;Doris;AOK;347,07;Klingler-Wolf;1000012;#;0
1000013;1953-03-01;Waldmüller@BNP_aribas_SA..de;Gabi;AOK;270,07;Waldmüller;1000013;+49 911 369-2440;0
1000014;1973-01-29;Tepel@BNP_aribas_SA..de;Jörg;AOK;578,58;Tepel;1000014;#;0
1000015;1973-01-13;Nussbaum@BNP_aribas_SA..de;Susanne;AOK;476,68;Nussbaum;1000015;#;0
1000016;1997-06-28;Macher@BNP_aribas_SA..de;Thomas;AOK;240,73;Macher;1000016;#;0
1000017;1981-12-21;Schopen@Air_iquide_Deutschland_GmbHde;Ute;AOK;381,9;Schopen;1000017;+49 211 6699 305;0
1000018;1958-04-05;Freygang@Adids_AGde;Jürgen;AOK;484,73;Freygang;1000018;#;0
1000019;1968-07-04;Masch@agipan_GmbHde;Edgar;AOK;883,35;Masch;1000019;+49 (208) 9925 330;0
1000020;1952-06-03;Travnicek@Adids_AGde;Volkmer;AOK;335,32;Travnicek;1000020;+49 9132 84-2357;0
1000021;1995-09-20;Ruckel@Aaren_AGde;Johannes;AOK;601,46;Ruckel;1000021;+49 6131-301926;0
1000022;1972-10-23;Krusemarck@Aaren_AGde;Ralph;AOK;20,99;Krusemarck;1000022;+49 6131-301213;0
1000025;1963-04-15;Heise@AIRBS_SA.S..de;Clemens;AOK;287,95;Heise;1000025;+49 (421) 5 38 58 48;0
1000026;1972-01-09;Dreher@AIRBS_SA.S..de;Oliver;AOK;302,37;Dreher;1000026;+49 (40) 743 73165;0
