ID;Geburtstag;Email_Addresse;Ansprechpartner (Vorname);Insurance;Letzter Rechnungsbetrag (€);Ansprechpartner (Nachname);Ansprechpartner;Ansprechpartner (Telefon);private_insurance
1000011;1976-01-31;bert@BNP_Paribas_S.A..de;Bernhard;AOK;533,36;Ebert;1000011;#;0
1000012;1953-12-25;lingler-Wolf@BNP_Paribas_S.A..de;Doris;AOK;347,07;Klingler-Wolf;1000012;#;0
1000013;1953-03-01;aldmüller@BNP_Paribas_S.A..de;Gabi;AOK;270,07;Waldmüller;1000013;+49 911 369-2440;0
1000014;1973-01-29;epel@BNP_Paribas_S.A..de;Jörg;AOK;578,58;Tepel;1000014;#;0
1000015;1973-01-13;ussbaum@BNP_Paribas_S.A..de;Susanne;AOK;476,68;Nussbaum;1000015;#;0
1000016;1997-06-28;acher@BNP_Paribas_S.A..de;Thomas;AOK;240,73;Macher;1000016;#;0
1000017;1981-12-21;chopen@Air_Liquide_Deutschland_GmbH.de;Ute;AOK;381,9;Schopen;1000017;+49 211 6699 305;0
1000018;1958-04-05;reygang@Adidas_AG.de;Jürgen;AOK;484,73;Freygang;1000018;#;0
1000019;1968-07-04;asch@agiplan_GmbH.de;Edgar;AOK;883,35;Masch;1000019;+49 (208) 9925 330;0
1000020;1952-06-03;ravnicek@Adidas_AG.de;Volkmer;AOK;335,32;Travnicek;1000020;+49 9132 84-2357;0
1000021;1995-09-20;uckel@Aareon_AG.de;Johannes;AOK;601,46;Ruckel;1000021;+49 6131-301926;0
1000022;1972-10-23;rusemarck@Aareon_AG.de;Ralph;AOK;20,99;Krusemarck;1000022;+49 6131-301213;0
1000025;1963-04-15;eise@AIRBUS_S.A.S..de;Clemens;AOK;287,95;Heise;1000025;+49 (421) 5 38 58 48;0
1000026;1972-01-09;reher@AIRBUS_S.A.S..de;Oliver;AOK;302,37;Dreher;1000026;+49 (40) 743 73165;0
1000027;1990-05-07;ilharm@AIRBUS_S.A.S..de;Petra;AOK;636,42;Wilharm;1000027;+49 40 5076 2331;0
1000028;1987-04-11;intzen@Aixtron_AG.de;Bernhard;AOK;170,93;Zintzen;1000028;+49 (241) 8909 3772;0
1000029;1949-06-08;chapdick@Aixtron_AG.de;Ralf;AOK;116,33;Schapdick;1000029;+49 241 8909 428;0
1000030;1950-10-13;eckmann@Allianz_Global_Investors.de;Joerg;AOK;136,99;Beckmann;1000030;+49 (69) 263 14659;0
1000031;1965-09-25;. Berquet@Amway_GmbH.de;Matthias;AOK;492;U. Berquet;1000031;+49 89 80094 133;0
1000032;1978-02-17;achermeier-Seifert@Amway_GmbH.de;Michael;AOK;212,69;Lachermeier-Seifert;1000032;+49 89 80094 511;0
1000033;1950-12-09;teinfartz@anyWARE_AG.de;Michael;AOK;939,33;Steinfartz;1000033;+49 6131 965 9650;0
1000034;1995-10-02;olkmar@Bundesagentur_für_Arbeit.de;Matthias;AOK;497,98;Volkmar;1000034;+49 991 179 2975;0
